"binary","filename","configuration","rate","time"
"old","http/client-request-body.js","method='write' len=32 type='asc' dur=5",9343.493007539844,4.999736176
"old","http/client-request-body.js","method='end' len=32 type='asc' dur=5",9713.425667567659,4.999780887
"old","http/client-request-body.js","method='write' len=256 type='asc' dur=5",9684.266593248707,4.999655837
"old","http/client-request-body.js","method='end' len=256 type='asc' dur=5",9900.869662688563,4.999560815
"old","http/client-request-body.js","method='write' len=1024 type='asc' dur=5",9335.596996033571,4.999894492
"old","http/client-request-body.js","method='end' len=1024 type='asc' dur=5",9495.069644785799,4.999858008
"old","http/client-request-body.js","method='write' len=32 type='utf' dur=5",9375.71410212267,4.999512516
"old","http/client-request-body.js","method='end' len=32 type='utf' dur=5",9974.387520655047,4.999404715
"old","http/client-request-body.js","method='write' len=256 type='utf' dur=5",9705.507783860647,4.999635370
"old","http/client-request-body.js","method='end' len=256 type='utf' dur=5",9693.718579381894,4.999938837
"old","http/client-request-body.js","method='write' len=1024 type='utf' dur=5",9491.883241267695,4.999745445
"old","http/client-request-body.js","method='end' len=1024 type='utf' dur=5",9593.580146357637,4.999072220
"old","http/client-request-body.js","method='write' len=32 type='buf' dur=5",10082.526228232178,4.999639858
"old","http/client-request-body.js","method='end' len=32 type='buf' dur=5",9718.752520441996,4.999098382
"old","http/client-request-body.js","method='write' len=256 type='buf' dur=5",9244.216311901515,4.999666650
"old","http/client-request-body.js","method='end' len=256 type='buf' dur=5",9741.950720118743,4.999101453
"old","http/client-request-body.js","method='write' len=1024 type='buf' dur=5",9744.133692927464,4.999418269
"old","http/client-request-body.js","method='end' len=1024 type='buf' dur=5",10107.941607097811,4.999435292
"new","http/client-request-body.js","method='write' len=32 type='asc' dur=5",9364.202940558842,4.999037323
"new","http/client-request-body.js","method='end' len=32 type='asc' dur=5",9419.40950738264,4.999676462
"new","http/client-request-body.js","method='write' len=256 type='asc' dur=5",9779.595509209743,5.000002296
"new","http/client-request-body.js","method='end' len=256 type='asc' dur=5",9191.050268689367,4.999211043
"new","http/client-request-body.js","method='write' len=1024 type='asc' dur=5",9503.194599077076,4.999371475
