"binary","filename","configuration","rate","time"
"old","path/dirname-posix.js","n=100000 path=''",8649583.738782572,0.011561250
"old","path/dirname-posix.js","n=100000 path='/'",16454924.695682622,0.006077208
"old","path/dirname-posix.js","n=100000 path='/foo'",14068490.759041501,0.007108083
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",11717205.708903834,0.008534458
"old","path/dirname-posix.js","n=100000 path='foo'",15163386.244958743,0.006594833
"old","path/dirname-posix.js","n=100000 path='foo/bar'",13296397.713338707,0.007520834
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10044152.083729658,0.009956042
"new","path/dirname-posix.js","n=100000 path=''",14012471.099278359,0.007136500
"new","path/dirname-posix.js","n=100000 path='/'",16475029.127851497,0.006069792
"new","path/dirname-posix.js","n=100000 path='/foo'",13754132.773044981,0.007270542
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",11742890.355106179,0.008515791
"new","path/dirname-posix.js","n=100000 path='foo'",14151777.817088272,0.007066250
"new","path/dirname-posix.js","n=100000 path='foo/bar'",13489513.117607241,0.007413166
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10127180.16668731,0.009874417
"old","path/dirname-posix.js","n=100000 path=''",17591439.864630353,0.005684583
"old","path/dirname-posix.js","n=100000 path='/'",14910720.569517955,0.006706584
"old","path/dirname-posix.js","n=100000 path='/foo'",13863616.670999046,0.007213125
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",11383254.367697785,0.008784834
"old","path/dirname-posix.js","n=100000 path='foo'",14417964.091195354,0.006935792
"old","path/dirname-posix.js","n=100000 path='foo/bar'",13547075.477666495,0.007381667
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",9812137.791066028,0.010191459
"new","path/dirname-posix.js","n=100000 path=''",17731546.51357013,0.005639666
"new","path/dirname-posix.js","n=100000 path='/'",15815797.831084749,0.006322792
"new","path/dirname-posix.js","n=100000 path='/foo'",13719382.111956194,0.007288958
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",11199044.766277617,0.008929333
"new","path/dirname-posix.js","n=100000 path='foo'",14496692.941922624,0.006898125
"new","path/dirname-posix.js","n=100000 path='foo/bar'",12627857.052658163,0.007919000
